Daniel P. Aalberts, Professor of Physics
Colin C. Adams, Thomas T. Read Professor of Mathematics
Zaid Adhami, Visiting Instructor in Religion
*Jeannie R Albrecht, Associate Professor of Computer Science
Laylah Ali, Professor of Art
Kris Allen, Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music, Director of the Jazz Ensemble
Olla Najah Al–Shalchi, Visiting Lecturer In the Program in Comparative Literature
++Sarah K. Amos, Visiting Lecturer in Art
John Andrews, Visiting Assistant Professor in the Program in American Studies
++Alex Apotsos, Lecturer in Geosciences
Michelle Apotsos, Assistant Professor of Art
Henry W. Art, Rosenburg Professor of Environmental Studies and Biology
Quamrul H. Ashraf, Assistant Professor of Economics
Milan Babik, Visiting Assistant Professor of Political Science
Duane A. Bailey, Professor of Computer Science
Robert E. Baker–White, Professor of Theatre
***Jon M. Bakija, Professor of Economics
Lois M. Banta, Associate Professor of Biology
Patrick S. Barber, Visiting Assistant Professor of Chemistry
Ashley C. Barnes, Visiting Assistant Professor of English
Alix H. Barrale, Assistant Professor of Physical Education and Head Field Hockey Coach
Bill Barrale, Assistant Professor of Physical Education, Head Baseball and Assistant Football Coach
Andrea Barrett, Senior Lecturer in English
Melissa J. Barry, Chair and Associate Professor of Philosophy
Christopher Beach, Visiting Assistant Professor of English
Donald deB. Beaver, Professor of History of Science
Ilona D. Bell, Samuel Fessenden Clarke Professor of English
Robert H. Bell, Frederick Latimer Wells Professor of English
Gene H. Bell–Villada, Professor of Romance Languages
Ben Benedict, Lecturer in Art
**Magnus T. Bernhardsson, Professor of History
*Dieter Bingemann, Professor of Chemistry
Julie C. Blackwood, Assistant Professor of Mathematics
Jimmy A. Blair, Assistant Professor of Chemistry
Jennifer Bloxam, Herbert H. Lehman Professor of Music
***Christopher A. Bolton, Associate Professor of Comparative and Japanese Literature
Sarah R. Bolton, Professor of Physics
Ralph M. Bradburd, Chair of CES and David A. Wells Professor of Political Economy
*Rashida K. Braggs, Assistant Professor of Africana Studies
Deborah A. Brothers, Costume Director and Lecturer in Theatre
Leslie Brown, Associate Professor of History
Denise K. Buell, Professor of Religion
Sandra L. Burton, Lipp Family Director of Dance and Senior Lecturer in Dance
Corinna S. Campbell, Assistant Professor of Music
Gerard Caprio, Chair of the Executive Committee for the Center of Development Economics and William Brough Professor of Economics
+Allen R. Carlson, Class of 1955 Visiting Professor of International Studies
James T. Carlton, Professor of Marine Sciences & Director of the Williams–Mystic Program
Benjamin R. Carone, Visiting Assistant Professor of Biology
Dawn M. Carone, Assistant Professor of Biology
Matt E. Carter, Assistant Professor of Biology
Alison A. Case, Professor of English
Julie A. Cassiday, Chair of German and Russian and Professor of Russian
Cosmo A. Catalano, Theatre Department Production Manager, Technical Supervisor for the ’62 Center for Theatre and Dance, and Lecturer in Theatre
Maria Elena Cepeda, Associate Professor of Latina/o Studies and Faculty Affiliate in American Studies and Women’s, Gender and Sexuality Studies
Chip Chandler, George R. Goethals Distinguished Visiting Professor of Leadership Studies
Cecilia Chang, Professor of Chinese
Jinhwa Chang, Visiting Lecturer in Japanese
Jessica M. Chapman, Associate Professor of History
***C. Ondine Chavoya, Professor  of Art
Kerry A. Christensen, Garfield Professor of Ancient Languages
Jennifer E. Chuks, Assistant Professor of Physical Education and Assistant Athletic Administrator
**Cassandra J. Cleghorn, Senior Lecturer in English and American Studies
+Dan Clowes, Visiting Lecturer in Art
Phoebe A. Cohen, Assistant Professor of Geosciences
Michael P. Conforti, Lecturer in the Graduate Program in Art History
Danilo A. Contreras, Gaius Charles Bolin Fellow in Political Science
Mea S. Cook, Assistant Professor of Geosciences
Margaux E. Cowden, Visiting Assistant Professor of English
Ronadh Cox, Chair and Professor of Geosciences
George T. Crane, Chair and W Van Alan Clark ’41 Third Century Professor in the Social Sciences
Marshall K. Creighton, Lecturer in Physical Education, Assistant Football and Assistant Baseball Coach
Justin Crowe, Assistant Professor of Political Science
***Joseph L. Cruz, Professor of Philosophy
Annelle M. Curulla, Assistant Professor of French Literature and Language
Erica Dankmeyer, Artist–in–Residence
Andrea Danyluk, Dennis A. Meenan ’54 Third Century Professor of Computer Science
William R. Darrow, Cluett Professor of Religion
Alan W. DeGooyer, Lecturer in English
Richard D. DeVeaux, C. Carlisle and Margaret Tippit Professor of Statistics
Derek Dean, Lecturer in Biology
Edan Dekel, Chair and Associate Professor of Classics
Erika R. DeSanty, Lecturer in Physical Education and Head Coach of Women’s Golf
Nicole S. Desrosiers, Lecturer in Romance Languages
David P. Dethier, Edward Brust Professor of Geology and Mineralogy
Satyan L. Devadoss, Professor of Mathematics
Charles B. Dew, Ephraim Williams Professor of American History
Charlie Doret, Assistant Professor of Physics
