,name,title,degrees,leave
0,Daniel P. Aalberts,Professor of Physics,"1989, B.S., Massachusetts Institute of Technology, 1994, Ph.D., Massachusetts Institute of Technology",n
1,Tomas F. Adalsteinsson,Assistant Professor of Physical Education and Head Women’s Golf Coach,none,n
2,Colin C. Adams,Thomas T. Read Professor of Mathematics,"1978, B.S., Massachusetts Institute of Technology, 1983, Ph.D., University of Wisconsin, Madison",n
3,Zaid R. Adhami,Assistant Professor of Religion,"2010, B.A., Stanford University, 2010, M.A., Stanford University",n
4,Jeannie R. Albrecht,Chair and Professor of Computer Science,"2001, B.S., Gettysburg College, 2003, M.S., Duke University, 2007, Ph.D., University of California, San Diego",n
5,Laylah Ali,Professor of Art,"1991, B.A., Williams College, 1994, M.F.A., Washington University",n
6,Baktygul A. Aliev,Assistant Professor of Russian,"2000, B.A., American University of Central Asia, 2007, M.A., McGill University, 2014, Ph.D., McGill University",n
7,Kristopher D. Allen,"Lyell B. Clay Artist in Residence in Jazz Activities/Lecturer in Music, Director of the Jazz Ensemble","1998, B.M., University of Hartford, 2004, M.M., State University of New York, Purchase",n
8,Sarah M. Allen,Associate Professor of Comparative Literature,"1992, A.B., Harvard University, 1996, M.A., University of Michigan, 2003, Ph.D., Harvard University",n
9,Alex A. Apotsos,Lecturer in Geosciences,"1999, B.S., Duke University, 2007, Ph.D., Massachusetts Institute of Technology",n
10,Michelle M. Apotsos,Assistant Professor of Art,"1999, B.A., University of North Carolina, Chapel Hill, 2006, M.A., Tufts University, 2013, Ph.D., Stanford University",n
11,Kevin M. App,Assistant Professor of Physical Education and Head Men’s Basketball Coach,"2007, B.S., Cornell University",n
12,Zakary D. Arctander,Visiting Assistant Professor of Art,"2010, B.F.A., University of Illinois, 2015, M.F.A., Yale University",n
13,Henry W. Art,"Interim Chair of CES and the Environmental Studies Program, Rosenburg Professor of Environmental Studies and Biology, Emeritus","1966, B.A., Dartmouth College, 1969, M.Phil., Yale University, 1971, Ph.D., Yale University",n
14,Quamrul H. Ashraf,Associate Professor of Economics,"1999, B.A., Trinity College, 2004, M.A., Brown University, 2009, Ph.D., Brown University",n
15,Sonya K. Auer,Visiting Assistant Professor of Biology,"2001, B.A., Prescott College, 2011, Ph.D., University of California, Riverside",n
16,Duane A. Bailey,Professor of Computer Science,"1982, B.A., Amherst College, 1984, M.S., University of Massachusetts Amherst, 1988, Ph.D., University of Massachusetts Amherst",n
17,Robert E. Baker-White,Professor of Theatre,"1980, B.A., Williams College, 1983, M.F.A., University of Washington, 1990, Ph.D., Stanford University",n
18,Jon M. Bakija,Professor of Economics,"1990, B.A., Wesleyan University, 1995, M.A., University of Michigan, 2000, Ph.D., University of Michigan",n
19,Lois M. Banta,Professor of Biology,"1983, B.A., Johns Hopkins University, 1990, Ph.D., California Institute of Technology",f
20,Daniel W. Barowy,Assistant Professor of Computer Science,"2010, B.S., Boston University, 2013, M.S., Boston University, 2017, Ph.D., University of Massachusetts Amherst",n
21,Alix H. Barrale,Assistant Professor of Physical Education and Head Field Hockey Coach,"1993, B.A., Williams College, 1996, M.S., Smith College",n
22,William Barrale,Assistant Professor of Physical Education,"Head Baseball Coach, 1994, B.S., Northeastern University, 2004, M.A., Rowan University",n
23,Andrea Barrett,Senior Lecturer in English,"1974, B.S., Union College",n
24,Ethan M. Barron,Assistant Professor of Physical Education,"Head Men’s Track & Field Coach, 2001, B.A., Tufts University, 2005, M.Ed., Middlebury College",n
25,Melissa J. Barry,Professor of Philosophy,"1988, B.A., Wheaton College, 1998, Ph.D., University of Notre Dame",f
26,Ronald D. Bassar,Assistant Professor of Biology,"2001, B.A., Prescott College, 2011, Ph.D., University of California, Riverside",n
27,Gene H. Bell-Villada,Harry C. Payne Professor of Romance Languages,"1963, B.A., University of Arizona, 1967, M.A., University of California, Berkeley, 1974, Ph.D., Harvard University",n
28,Henry H. Benedict III,Lecturer in Art,"1973, B.A., Yale University, 1976, M.Arch., Yale University",n
29,Mary K. Bercaw Edwards,Visiting Associate Professor at Williams-Mystic,"1979, B.A., Northeastern University, 1981, M.A., Northeastern University, 1984, Ph.D., Northeastern University",n
30,Amanda N. Bergold,Visiting Assistant Professor of Psychology,"2009, B.A., Williams College, 2017, Ph.D., City University of New York",n
31,Magnús T. Bernhardsson,"Chair of Arabic Studies, Brown Professor of History and Faculty Affiliate in Leadership Studies and Religion","1990, B.A., University of Iceland, 1992, M.A., Yale University, 1999, Ph.D., Yale University",n
32,Alexander Bevilacqua,Assistant Professor of History,"2007, B.A., Harvard University, 2010, M.A., Princeton University, 2014, Ph.D., Princeton University",n
33,Maria T. Binnie,Assistant Professor of Art,"2005, B.A., Northwestern University, 2011, M.A., University of Texas, Austin, 2017, Ph.D., University of Texas, Austin",n
34,Julie C. Blackwood,Assistant Professor of Mathematics,"2010, Ph.D., University of California, Davis",n
35,James Abellera Blair,Assistant Professor of Chemistry,"2002, B.A., Carleton College, 2008, Ph.D., University of California, Berkeley",n
36,Roxana A. Blancas Curiel,Mellon Postdoctoral Fellow in Mexican Literature and Cultural Production,"2016, Ph.D., University of California, Riverside",n
37,Jacek H. Blaszkiewicz,Visiting Assistant Professor of Musicology,none,s
38,Mary Jennifer Bloxam,Herbert H Lehman Professor of Music,"1979, B.M., University of Illinois, 1982, M.A., Yale University, 1987, Ph.D., Yale University",n
39,Thomas P. Blumenauer,"Lecturer in Physical Education, Assistant Football Coach","2007, B.S., Ithaca College, 2012, M.Ed., Saint Lawrence University",n
40,Christopher A. Bolton,Professor of Comparative and Japanese Literature,"1989, B.A., Harvard University, 1998, Ph.D., Stanford University",f
41,Ralph M. Bradburd,David A. Wells Professor of Political Economy,"1970, B.A., Columbia College, 1975, M.A., Columbia University, 1976, Ph.D., Columbia University",y
42,Alice C. Bradley,Assistant Professor of Geosciences,"2011, B.E., Dartmouth College, 2014, M.S., University of Colorado, 2016, Ph.D., University of Colorado",n
43,Rashida K. Braggs,Associate Professor of Africana Studies and Faculty Affiliate in Comparative Literature and American Studies,"1998, B.A., Yale University, 2000, M.S., Boston College, 2006, Ph.D., Northwestern University",y
44,Janis E. Bravo,Instructor in Biology,"1980, B.S., Cornell University, 1990, Ph.D., Rutgers University",n
45,Theresa M. Brock,Visiting Assistant Professor of French,"2011, B.A., University of Delaware, 2013, M.A., Pennsylvania State University, 2017, Ph.D., Pennsylvania State University",n
46,Victoria J. Brooks,Visiting Lecturer in the Graduate Program in Art History,"2001, B.A., University of Bristol, 2006, M.A., Royal College of Art",n
47,Deborah A. Brothers,Costume Director and Lecturer in Theatre,"1976, B.F.A., University of New Orleans, 1979, M.F.A., California Institute of the Arts",n
48,Nicole G. Brown,Assistant Professor of Classics,"2001, B.A., Mount Holyoke College, 2003, M.A., Princeton University, 2017, Ph.D., Princeton University",n
49,Julia Bryan-Wilson,Robert Sterling Clark Visiting Professor of Art History,none,n
50,Denise K. Buell,Cluett Professor of Religion,"1987, B.A., Princeton University, 1990, M.Div., Harvard University, 1995, Ph.D., Harvard University",n
51,Sandra L. Burton,Lipp Family Director of Dance and Senior Lecturer in Dance,"1983, B.A., City College of New York, 1987, M.F.A., Bennington College",n
52,Andrew T. Bydlon,Visiting Assistant Professor of Mathematics,"2012, B.S., Pennsylvania State University, 2017, Ph.D., University of Utah",n
53,Xizhen Cai,Assistant Professor of Statistics,"2014, Ph.D., Pennsylvania State University",n
54,Corinna S. Campbell,Assistant Professor of Music,"2003, B.M., Northwestern University, 2005, M.M., Bowling Green State University, 2012, Ph.D., Harvard University",n
55,Gerard Caprio Jr.,Chair of the Executive Committee for the Center of Development Economics and William Brough Professor of Economics,"1972, B.A., Williams College, 1974, M.A., University of Michigan, 1976, Ph.D., University of Michigan",n
