,last,first,middle,dept,leave,visiting,title,degrees,name
0,aalberts,daniel,p.,['physics'],s,0,kennedy p. richardson '71 professor of physics,"1989, b.s., massachusetts institute of technology, 1994, ph.d., massachusetts institute of technology, 1996, postdoctoral research at, university of leiden, 1997, postdoctoral fellow at, rockefeller university; affiliated with: bioinformatics, genomics & pro",
1,adalsteinsson,tomas,,['physical education'],n,0,assistant professor of physical education and head women's golf coach,"2011, m.a., john f. kennedy university",
2,adams,colin,c.,['math'],n,0,thomas t. read professor of mathematics,"1978, b.s., massachusetts institute of technology, 1983, ph.d., university of wisconsin, madison",
3,adhami,zaid,,"['anthropology', 'religion', 'sociology']",n,0,assistant professor of religion and faculty affiliate in anthropology & sociology,"2010, b.a., stanford university, 2010, m.a., stanford university, 2017, ph.d., duke university; affiliated with: anthropology and sociology",
4,agosto,efrain,,['religion'],n,0,croghan bicentennial professor in biblical and early christian studies,"1977, b.a., columbia university, 1982, m.div., gordon-conwell theological seminary, 1996, ph.d., boston university; affiliated with: latina/o studies program",
5,albrecht,jeannie,r,['computer science'],n,0,professor of computer science,"2001, b.s., gettysburg college, 2003, m.s., duke university, 2007, ph.d., university of california, san diego",
6,aldarondo,cecilia,,['art'],y,0,assistant professor of art,"2012, ph.d., university of minnesota; ",
7,ali,laylah,,['art'],n,0,francis christopher oakley third century professor of art,"1991, b.a., williams college, 1994, m.f.a., washington university in st. louis",
8,allen,kris,,"['art', 'music']",n,0,"lyell b. clay artist in residence in jazz activities/lecturer in music, director of the jazz ensemble","1998, b.m., hartt school, university of hartford, 2004, m.m., state university of ny, purchase conservatory",
9,allen,sarah,m.,['comparative literature'],n,0,chair and associate professor of comparative literature,"1992, a.b., harvard university, 1996, m.a., university of michigan, 2003, ph.d., harvard university",
10,apotsos,alex,a.,['geosciences'],n,0,lecturer in geosciences,"1999, b.s., duke university, 2007, ph.d., massachusetts institute of technology",
11,apotsos,michelle,m.,['art'],s,0,associate professor of art,"1999, b.a., university of north carolina, chapel hill, 2005, m.f.a., university of arkansas, fayetteville, 2006, m.a., tufts university, 2013, ph.d., stanford university",
12,app,kevin,m.,['physical education'],n,0,assistant professor of physical education and head men's basketball coach,"2007, b.s., cornell university",
13,armanios,febe,,['history'],n,1,bennett boskey distinguished visiting professor of history,"1994, b.a., the ohio state university, 1998, m.a., the ohio state university, 2003, ph.d., the ohio state university",
14,ashraf,quamrul,h.,['economics'],n,0,halvorsen presidential professor for distinguished teaching and research of economics,"1999, b.a., trinity college, 2004, m.a., brown university, 2009, ph.d., brown university",
15,auer,sonya,k.,['biology'],n,1,visiting assistant professor of biology,"2001, b.a., prescott college, 2011, ph.d., university of california, riverside",
16,ayazi,hossein,,['american studies'],n,1,visiting assistant professor of american studies,"2010, b.sc., university of california, san diego, 2018, ph.d., university of california, berkeley",
17,bailey,duane,a.,"['art', 'computer science']",n,0,a. barton hepburn professor of computer science,"1982, b.a., amherst college, 1984, m.s., university of massachusetts, amherst, 1988, ph.d., university of massachusetts, amherst",
18,baker-white,robert,e.,['theatre'],n,0,professor of theatre,"1980, b.a., williams college, 1983, m.f.a., university of washington, 1990, ph.d., stanford university",
19,bakija,jon,m.,['social sciences'],s,0,w. van alan clark '41 third century professor in the social sciences,"1990, b.a., wesleyan university, 1995, m.a., university of michigan, 2000, ph.d., university of michigan",
20,banta,lois,m.,['biology'],n,0,chair and halvorsen professor for distinguished teaching and research of biology,"1983, b.a., johns hopkins university, 1990, ph.d., california institute of technology",
21,barowy,daniel,w.,['computer science'],n,0,assistant professor of computer science,"2002, b.a., university of massachusetts, amherst, 2010, b.s., boston university, 2013, m.s., boston university, 2017, ph.d., university of massachusetts, amherst",
22,barrale,alix,h.,['physical education'],n,0,assistant professor of physical education and head field hockey coach,"1993, b.a., williams college, 1996, m.s., smith college",
23,barrale,bill,,['physical education'],n,0,"assistant professor of physical education, head baseball coach","1994, b.s., northeastern university, 2004, m.a., rowan university",
24,barron,ethan,m.,['physical education'],n,0,"assistant professor of physical education, head men's track & field coach","2001, b.a., tufts university, 2005, m.ed., middlebury college",
25,barry,melissa,j.,['philosophy'],n,0,professor of philosophy,"1988, b.a., wheaton college, 1998, ph.d., university of notre dame",
26,barsky,marina,,['computer science'],n,1,visiting associate professor of computer science,"2006, m.sc., university of victoria, 2010, ph.d., university of victoria",
27,bassar,ron,d.,['biology'],n,0,assistant professor of biology,"2001, b.a., prescott college, 2011, ph.d., university of california, riverside",
28,bell-villada,gene,h.,['romance languages'],n,0,harry c. payne professor of romance languages,"1963, b.a., university of arizona, 1967, m.a., university of california, berkeley, 1974, ph.d., harvard university",
29,benedict,ben,,[None],n,0,senior lecturer,"1973, b.a., yale university, 1976, m.arch., yale university",
30,bernhardsson,magnús,t.,"['arabic studies', 'history', 'leadership studies', 'religion']",f,0,"brown professor of history and faculty affiliate in arabic studies, leadership studies and religion","1990, b.a., university of iceland, 1992, m.a., yale university, 1999, ph.d., yale university; affiliated with: religion department, leadership studies program",
31,bevilacqua,alexander,,['history'],s,0,assistant professor of history,"2007, b.a., harvard university, 2008, m.phil., cambridge university, 2010, m.a., princeton university, 2014, ph.d., princeton university",
32,bhattacharya,rohit,,['computer science'],n,0,assistant professor of computer science,"2015, b.s., johns hopkins university, 2017, m.s., johns hopkins university, 2021, ph.d., johns hopkins university",
33,binnie,mari,rodriguez,['art'],n,0,assistant professor of art,"2005, b.a., northwestern university, 2011, m.a., university of texas, austin, 2017, ph.d., university of texas, austin",
34,binnie,william,b.,['art'],n,1,visiting lecturer in art,"2008, b.a., pitzer college, the claremont college, 2014, m.f.a., southern methodist university, meadows school of arts",
35,blackwood,julie,c.,['math'],n,0,associate professor of mathematics,"2006, b.s., rochester institute of technology, 2010, ph.d., university of california, davis",
36,bloxam,m.,jennifer,['music'],n,0,herbert h lehman professor of music,"1979, b.m., university of illinois, 1982, m.a., yale university, 1987, ph.d., yale university",
37,blumenauer,thomas,p.,['physical education'],n,0,"lecturer in physical education, assistant football coach","2007, b.s., ithaca college, 2012, m.ed., saint lawrence university",
38,bohlen,casey,d.,['history'],n,1,visiting assistant professor of history,"2008, b.a., brown university, 2013, m.a., harvard university, 2016, ph.d., harvard university; affiliated with: religion department",
39,bolton,christopher,a.,['japanese'],s,0,professor of comparative and japanese literature,"1989, b.a., harvard university, 1998, ph.d., stanford university",
40,bonner,lynnée,d,['africana studies'],n,1,sterling brown '22 visiting professor of africana studies,"1997, b.a., fisk university, 2005, m.a., san francisco state university, 2019, m.f.a., university of california, riverside",
41,bourne,lyndsey,,['theatre'],n,1,visiting lecturer in theatre,"2015, b.f.a., new york university tisch school of the arts, 2020, m.f.a., brooklyn college",
42,bradburd,ralph,m.,['political economy'],s,0,david a. wells professor of political economy,"1970, b.a., columbia college, 1975, m.a., columbia university, 1976, ph.d., columbia university",
43,bradley,alice,c.,['geosciences'],n,0,assistant professor of geosciences,"2011, b.e., dartmouth college, 2014, m.s., university of colorado, boulder, 2016, ph.d., university of colorado, boulder",
44,braggs,rashida,k.,"['africana studies', 'comparative literature']",n,0,"associate professor of africana studies and faculty affiliate in comparative literature, faculty fellow of the davis center and the office of institutional diversity, equity and inclusion","1998, b.a., yale university, 2000, m.s., boston university, 2006, ph.d., northwestern university; affiliated with: the davis center, vp-instdivrstyequity&inclusion",
45,bravo,janis,,['biology'],n,0,instructor in biology,"1980, b.s., cornell university, 1990, ph.d., rutgers university",
46,breiding,johanna,,['art'],n,0,assistant professor of art,"2006, b.a., scripps college, 2012, m.f.a., california institute of the arts",
47,brooks,victoria,,"['art', 'history']",n,1,visiting lecturer in the graduate program in art history,"2001, b.a., university of bristol, 2006, m.a., royal college of art",
48,brothers,deborah,,['theatre'],n,0,costume director and lecturer in theatre,"1976, b.f.a., university of new orleans, 1979, m.f.a., california institute of the arts",
49,brown,nicole,g.,['classics'],n,0,assistant professor of classics,"2001, b.a., mount holyoke college, 2003, m.a.t., university of massachusetts, amherst, 2014, m.a., princeton university, 2018, ph.d., princeton university",
50,buell,denise,k.,['religion'],n,0,cluett professor of religion,"1987, b.a., princeton university, 1990, m.div., harvard university, 1995, ph.d., harvard university",
51,burton,sandra,l.,['dance'],n,0,lipp family director of dance and senior lecturer in dance,"1983, b.a., city college of new york, 1987, m.f.a., bennington college",
52,cai,xizhen,,['statistics'],y,0,assistant professor of statistics,"2014, ph.d., pennsylvania state university; ",
53,campbell,corinna,s.,['music'],f,0,associate professor of music,"2003, b.m., northwestern university, 2005, m.m., bowling green state university, 2012, ph.d., harvard university",
54,capanna,mariel,,['art'],n,0,mellon postdoctoral fellow in art,"2013, b.f.a., pennsylvania academy of the fine arts, 2020, m.f.a., yale school of art",
55,caprio,gerard,,['economics'],n,0,william brough professor of economics,"1972, b.a., williams college, 1974, m.a., university of michigan, 1976, ph.d., university of michigan",
